ID	SampleID	REF	Origin
6039	GA001445	AFR	Genome Asia
6048	GA001454	AFR	Genome Asia
6049	GA001455	AFR	Genome Asia
7256	HG01882	AFR	1000G
7258	HG01885	AFR	1000G
7260	HG01889	AFR	1000G
7265	HG01896	AFR	1000G
7323	HG02013	AFR	1000G
7342	HG02051	AFR	1000G
7343	HG02052	AFR	1000G
7369	HG02095	AFR	1000G
7373	HG02107	AFR	1000G
7375	HG02111	AFR	1000G
7394	HG02144	AFR	1000G
7448	HG02281	AFR	1000G
7460	HG02307	AFR	1000G
7466	HG02317	AFR	1000G
7467	HG02318	AFR	1000G
7470	HG02325	AFR	1000G
7475	HG02339	AFR	1000G
7514	HG02419	AFR	1000G
7520	HG02439	AFR	1000G
7521	HG02442	AFR	1000G
7523	HG02449	AFR	1000G
7544	HG02497	AFR	1000G
7548	HG02508	AFR	1000G
7549	HG02511	AFR	1000G
7555	HG02537	AFR	1000G
7559	HG02549	AFR	1000G
7562	HG02557	AFR	1000G
7597	HG02635	AFR	1000G
7685	HG02851	AFR	1000G
7704	HG02922	AFR	1000G
7705	HG02923	AFR	1000G
7706	HG02938	AFR	1000G
7707	HG02941	AFR	1000G
7708	HG02943	AFR	1000G
7709	HG02944	AFR	1000G
7710	HG02946	AFR	1000G
7711	HG02947	AFR	1000G
7712	HG02952	AFR	1000G
7713	HG02953	AFR	1000G
7714	HG02968	AFR	1000G
7715	HG02970	AFR	1000G
7716	HG02971	AFR	1000G
7717	HG02973	AFR	1000G
7718	HG02974	AFR	1000G
7719	HG02976	AFR	1000G
7720	HG02977	AFR	1000G
7721	HG02979	AFR	1000G
7722	HG02981	AFR	1000G
7740	HG03040	AFR	1000G
7762	HG03081	AFR	1000G
7769	HG03095	AFR	1000G
7772	HG03099	AFR	1000G
7773	HG03100	AFR	1000G
7774	HG03103	AFR	1000G
7775	HG03105	AFR	1000G
7776	HG03108	AFR	1000G
7777	HG03109	AFR	1000G
7778	HG03111	AFR	1000G
7779	HG03112	AFR	1000G
7780	HG03114	AFR	1000G
7781	HG03115	AFR	1000G
7782	HG03117	AFR	1000G
7783	HG03118	AFR	1000G
7784	HG03120	AFR	1000G
7785	HG03121	AFR	1000G
7786	HG03123	AFR	1000G
7787	HG03124	AFR	1000G
7788	HG03126	AFR	1000G
7789	HG03127	AFR	1000G
7790	HG03129	AFR	1000G
7791	HG03130	AFR	1000G
7792	HG03132	AFR	1000G
7793	HG03133	AFR	1000G
7794	HG03135	AFR	1000G
7795	HG03136	AFR	1000G
7796	HG03139	AFR	1000G
7797	HG03157	AFR	1000G
7798	HG03159	AFR	1000G
7799	HG03160	AFR	1000G
7800	HG03162	AFR	1000G
7801	HG03163	AFR	1000G
7802	HG03166	AFR	1000G
7803	HG03168	AFR	1000G
7804	HG03169	AFR	1000G
7805	HG03172	AFR	1000G
7806	HG03175	AFR	1000G
7807	HG03189	AFR	1000G
7808	HG03190	AFR	1000G
7809	HG03193	AFR	1000G
7810	HG03195	AFR	1000G
7811	HG03196	AFR	1000G
7812	HG03198	AFR	1000G
7813	HG03199	AFR	1000G
7814	HG03202	AFR	1000G
7831	HG03265	AFR	1000G
7832	HG03267	AFR	1000G
7833	HG03268	AFR	1000G
7834	HG03270	AFR	1000G
7835	HG03271	AFR	1000G
7836	HG03279	AFR	1000G
7837	HG03280	AFR	1000G
7838	HG03291	AFR	1000G
7839	HG03294	AFR	1000G
7840	HG03295	AFR	1000G
7841	HG03297	AFR	1000G
7842	HG03298	AFR	1000G
7843	HG03300	AFR	1000G
7844	HG03301	AFR	1000G
7845	HG03303	AFR	1000G
7846	HG03304	AFR	1000G
7847	HG03311	AFR	1000G
7848	HG03313	AFR	1000G
7849	HG03342	AFR	1000G
7850	HG03343	AFR	1000G
7851	HG03351	AFR	1000G
7852	HG03352	AFR	1000G
7853	HG03354	AFR	1000G
7854	HG03363	AFR	1000G
7855	HG03366	AFR	1000G
7856	HG03367	AFR	1000G
7857	HG03369	AFR	1000G
7858	HG03370	AFR	1000G
7859	HG03372	AFR	1000G
7873	HG03432	AFR	1000G
7902	HG03499	AFR	1000G
7903	HG03511	AFR	1000G
7904	HG03514	AFR	1000G
7905	HG03515	AFR	1000G
7906	HG03517	AFR	1000G
7907	HG03518	AFR	1000G
7908	HG03520	AFR	1000G
7909	HG03521	AFR	1000G
7918	HG03563	AFR	1000G
9726	NA18486	AFR	1000G
9727	NA18488	AFR	1000G
9728	NA18489	AFR	1000G
9729	NA18498	AFR	1000G
9730	NA18499	AFR	1000G
9731	NA18501	AFR	1000G
9732	NA18502	AFR	1000G
9733	NA18504	AFR	1000G
9734	NA18505	AFR	1000G
9735	NA18507	AFR	1000G
9736	NA18508	AFR	1000G
9738	NA18511	AFR	1000G
9739	NA18516	AFR	1000G
9740	NA18517	AFR	1000G
9741	NA18519	AFR	1000G
9742	NA18520	AFR	1000G
9743	NA18522	AFR	1000G
9744	NA18523	AFR	1000G
9848	NA18853	AFR	1000G
9849	NA18856	AFR	1000G
9850	NA18858	AFR	1000G
9851	NA18861	AFR	1000G
9852	NA18864	AFR	1000G
9853	NA18865	AFR	1000G
9854	NA18867	AFR	1000G
9855	NA18868	AFR	1000G
9856	NA18870	AFR	1000G
9857	NA18871	AFR	1000G
9858	NA18873	AFR	1000G
9859	NA18874	AFR	1000G
9860	NA18876	AFR	1000G
9861	NA18877	AFR	1000G
9862	NA18878	AFR	1000G
9863	NA18879	AFR	1000G
9864	NA18881	AFR	1000G
9865	NA18907	AFR	1000G
9867	NA18909	AFR	1000G
9868	NA18910	AFR	1000G
9869	NA18912	AFR	1000G
9870	NA18915	AFR	1000G
9871	NA18916	AFR	1000G
9872	NA18917	AFR	1000G
9873	NA18923	AFR	1000G
9874	NA18924	AFR	1000G
9875	NA18933	AFR	1000G
9876	NA18934	AFR	1000G
9951	NA19024	AFR	1000G
9959	NA19036	AFR	1000G
9999	NA19092	AFR	1000G
10000	NA19093	AFR	1000G
10001	NA19095	AFR	1000G
10002	NA19096	AFR	1000G
10005	NA19102	AFR	1000G
10006	NA19107	AFR	1000G
10007	NA19108	AFR	1000G
10009	NA19114	AFR	1000G
10010	NA19116	AFR	1000G
10013	NA19119	AFR	1000G
10014	NA19121	AFR	1000G
10015	NA19129	AFR	1000G
10016	NA19130	AFR	1000G
10018	NA19137	AFR	1000G
10019	NA19138	AFR	1000G
10020	NA19141	AFR	1000G
10021	NA19143	AFR	1000G
10022	NA19144	AFR	1000G
10023	NA19146	AFR	1000G
10024	NA19147	AFR	1000G
10025	NA19149	AFR	1000G
10026	NA19152	AFR	1000G
10027	NA19153	AFR	1000G
10028	NA19159	AFR	1000G
10029	NA19160	AFR	1000G
10030	NA19171	AFR	1000G
10031	NA19172	AFR	1000G
