FID	IID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	Super_Pop
FNFM71_NFM041	FNFM71_NFM041	0.2271475	-0.1776896	0.1440159	-0.05092149	-0.2196471	-0.103322	-0.0873014	0.02506327	0.02271424	0.0009752891	AMR
FNFM74_NFM043	FNFM74_NFM043	0.2404091	-0.2003523	0.1489105	-0.04584627	-0.2301366	-0.1149691	-0.08387731	0.02297331	0.01525686	-0.0002005932	AMR
FNFM74_NFM044	FNFM74_NFM044	0.226629	-0.1798558	0.1490446	-0.05254911	-0.2215391	-0.0950166	-0.09179887	0.03510323	0.01813802	0.008290892	AMR
FNFM159_NFM001	FNFM159_NFM001	0.2334038	-0.1926892	0.1497234	-0.05402414	-0.2254219	-0.1079257	-0.08832195	0.0275566	0.01778307	0.001301959	AMR
FNFM159_NFM002	FNFM159_NFM002	0.2300821	-0.1756276	0.1414414	-0.04439556	-0.2223319	-0.1008101	-0.09039149	0.02441889	0.0196601	0.002782659	AMR
FNFM171_NFM004	FNFM171_NFM004	0.2356989	-0.1983156	0.1527328	-0.05185481	-0.2323939	-0.1138893	-0.09083658	0.0272011	0.01512446	-0.0001226104	AMR
FNFM171_NFM005	FNFM171_NFM005	0.2329888	-0.1975928	0.1506501	-0.0494034	-0.2251241	-0.1082415	-0.09093017	0.02706173	0.01768554	0.004841382	AMR
FNFM174_NFM008	FNFM174_NFM008	0.2215697	-0.1657799	0.141309	-0.04938172	-0.2163367	-0.09545885	-0.08651731	0.03399121	0.01321191	-0.003130408	AMR
FNFM274_NFM010	FNFM274_NFM010	0.241846	-0.1959784	0.1522456	-0.04862517	-0.2349919	-0.1113893	-0.0894116	0.02445977	0.01646276	-0.00018931	AMR
FNFM292_NFM014	FNFM292_NFM014	0.2327461	-0.1901964	0.1522137	-0.05296072	-0.2295885	-0.1079268	-0.09232468	0.03136937	0.00955127	-0.001810876	AMR
FNFM355_NFM016	FNFM355_NFM016	0.2362906	-0.1957963	0.1492017	-0.05241787	-0.2329755	-0.1141119	-0.09343613	0.0237956	0.01845517	0.003424382	AMR
FNFM355_NFM017	FNFM355_NFM017	0.2430576	-0.1921512	0.1492612	-0.04973441	-0.231732	-0.1140982	-0.09120082	0.029459	0.01487932	0.003097348	AMR
FNFM391_NFM019	FNFM391_NFM019	0.2388099	-0.1968966	0.1525276	-0.04983786	-0.2318397	-0.111633	-0.08674114	0.02773407	0.01562221	0.004070255	AMR
FNFM391_NFM020	FNFM391_NFM020	0.2255564	-0.1763217	0.1490933	-0.05284745	-0.2202919	-0.09714256	-0.09181756	0.02677217	0.01381561	0.004833019	AMR
FNFM443_NFM025	FNFM443_NFM025	0.2216471	-0.1686207	0.1383593	-0.05067081	-0.21303	-0.09938429	-0.0864747	0.02885608	0.01701878	0.0003408007	AMR
FNFM443_NFM026	FNFM443_NFM026	0.2281607	-0.1762337	0.1470943	-0.05469385	-0.2246618	-0.09848079	-0.08626234	0.0240727	0.02019044	0.000289152	AMR
FNFM450_NFM028	FNFM450_NFM028	0.2390302	-0.1926752	0.1425854	-0.05094907	-0.2300118	-0.1128612	-0.08582963	0.02584327	0.02031786	-0.0004141512	AMR
FNFM529_NFM031	FNFM529_NFM031	0.239182	-0.1961821	0.1472925	-0.04629438	-0.2306331	-0.1118934	-0.08390868	0.03133933	0.01265701	0.00463272	AMR
FNFM550_NFM034	FNFM550_NFM034	0.2411615	-0.1931604	0.1553764	-0.056015	-0.2340387	-0.1099602	-0.08796557	0.03206604	0.01327002	0.003382337	AMR
FNFM550_NFM035	FNFM550_NFM035	0.234303	-0.1907359	0.1467537	-0.0506519	-0.2256775	-0.1016273	-0.08886222	0.03296617	0.01144584	-0.0005481864	AMR
FNFM623_NFM037	FNFM623_NFM037	0.236569	-0.1871621	0.1514528	-0.0511436	-0.2301045	-0.1046517	-0.08759848	0.02336341	0.01446306	-0.001890003	AMR
FNFM623_NFM038	FNFM623_NFM038	0.2364425	-0.1875145	0.1488388	-0.04951282	-0.2303288	-0.1059351	-0.08903561	0.02453597	0.01583068	0.005714385	AMR
FNXP01_NXP020	FNXP01_NXP020	0.2266473	-0.1771868	0.1453159	-0.05405097	-0.2228716	-0.09622077	-0.08745623	0.03013607	0.01710158	0.003817467	AMR
FNXP01_NXP021	FNXP01_NXP021	0.2210285	-0.1654269	0.1332157	-0.04703507	-0.2135883	-0.08646265	-0.08394649	0.03218413	0.0146099	-0.0005978276	AMR
FTOT01_TOT022	FTOT01_TOT022	0.2475527	-0.2065138	0.1564593	-0.0545114	-0.2447362	-0.1224161	-0.0944574	0.02760795	0.01949355	0.002481294	AMR
FTOT01_TOT023	FTOT01_TOT023	0.2463168	-0.2089929	0.1538085	-0.05333853	-0.2406988	-0.1201763	-0.09381449	0.02455529	0.01803605	0.002032236	AMR
FZAP01_ZAPS018	FZAP01_ZAPS018	0.2393536	-0.1914087	0.1590607	-0.05481324	-0.2381865	-0.1101993	-0.0920132	0.02217459	0.01747364	0.003472277	AMR
FZAP01_ZAPS019	FZAP01_ZAPS019	0.2492614	-0.2096587	0.160091	-0.05187034	-0.2477997	-0.1183335	-0.09255137	0.02819716	0.01055179	0.003719476	AMR
FZAP02_ZAPS021	FZAP02_ZAPS021	0.2460133	-0.2027276	0.1543202	-0.05349006	-0.2432367	-0.1196635	-0.09127234	0.02900473	0.01824468	3.78691e-05	AMR
FZAP02_ZAPS022	FZAP02_ZAPS022	0.2461855	-0.1999873	0.1514371	-0.05418131	-0.2410899	-0.1151619	-0.09213598	0.0258166	0.01834327	0.003670575	AMR
FZAP03_ZAPS024	FZAP03_ZAPS024	0.2389366	-0.1956218	0.1526792	-0.04962846	-0.2387258	-0.1123094	-0.09287597	0.03281612	0.01422908	0.00120537	AMR
FZAP03_ZAPS025	FZAP03_ZAPS025	0.243858	-0.1988865	0.1508927	-0.05127044	-0.2404319	-0.1158561	-0.08738663	0.03046792	0.01906653	0.002968116	AMR
GA000431	GA000431	0.07806936	-0.2484219	-0.3134579	0.1371926	0.02404254	0.01198027	0.03166119	-0.007809221	-0.07222594	0.0103316	EAS
GA000432	GA000432	0.07841906	-0.2455304	-0.3212261	0.1412547	0.02244494	0.007311088	0.02726481	-0.004444124	-0.07184991	0.009158128	EAS
GA000433	GA000433	0.07755786	-0.2506327	-0.3223059	0.1410008	0.02521868	0.001424228	0.03160763	-0.003074424	-0.0715014	0.008047746	EAS
GA000434	GA000434	0.07759021	-0.2507665	-0.3158913	0.1434389	0.02505894	0.002674427	0.03291396	-0.007566632	-0.07210362	0.009953315	EAS
GA000435	GA000435	0.07694843	-0.2516502	-0.3190816	0.1361229	0.02360449	0.001784675	0.03547619	-0.00873729	-0.07078047	0.004532357	EAS
GA000436	GA000436	0.07577518	-0.2476722	-0.3154848	0.1353558	0.01938526	0.001567147	0.02871749	-0.002618688	-0.07476729	0.01078486	EAS
GA000437	GA000437	0.08434861	-0.2511767	-0.3192272	0.146277	0.0168955	0.01046278	0.02862629	0.0006545002	-0.06691876	0.00693536	EAS
GA000438	GA000438	0.07645642	-0.2483278	-0.315936	0.1368716	0.02346525	0.004479156	0.03099027	-0.007579046	-0.07288312	0.01026368	EAS
GA000439	GA000439	0.07935552	-0.2453837	-0.3148142	0.1327761	0.02313998	0.007169208	0.03417891	-0.004007821	-0.06686588	0.01069804	EAS
GA000440	GA000440	0.07185604	-0.2483975	-0.3207534	0.1347522	0.0212526	0.006246967	0.03426746	-0.00560691	-0.06436545	0.009832229	EAS
GA000441	GA000441	0.07486163	-0.2521851	-0.3223386	0.1405199	0.0230725	0.007610258	0.0341675	3.096331e-05	-0.06818301	0.009138087	EAS
GA000442	GA000442	0.07924419	-0.2440754	-0.3126899	0.1329169	0.02091164	0.01046773	0.02782748	-0.00625208	-0.06330212	0.008769825	EAS
GA000443	GA000443	0.07979671	-0.2521768	-0.3201519	0.1442769	0.02275834	0.007086943	0.0309085	-0.002349828	-0.06551876	0.01059233	EAS
GA000444	GA000444	0.07932991	-0.245787	-0.3185577	0.1375039	0.0263603	0.01103528	0.03511634	-0.004786832	-0.06308956	0.01183837	EAS
GA000445	GA000445	0.08204447	-0.243072	-0.3196123	0.1335228	0.02575046	0.01061628	0.03095514	-0.0001180163	-0.07284134	0.01199034	EAS
GA000446	GA000446	0.07804067	-0.2513873	-0.3218059	0.1372837	0.02390593	0.006780282	0.02678397	-0.000449568	-0.06885541	0.006816398	EAS
GA000447	GA000447	0.07605952	-0.2465831	-0.321716	0.1371494	0.02115305	0.01210996	0.03400584	-0.001824608	-0.06605	0.00749577	EAS
GA000448	GA000448	0.07580318	-0.2444825	-0.3201071	0.1402912	0.02276747	0.006668823	0.03393478	-0.003388253	-0.05918835	0.00986701	EAS
GA000449	GA000449	0.07821506	-0.2501222	-0.3201982	0.1340111	0.02149793	0.01317053	0.03211928	-0.003082359	-0.06482741	0.001765147	EAS
GA000450	GA000450	0.07848453	-0.2441891	-0.3205093	0.133227	0.02475702	0.01254418	0.03259138	-0.00341223	-0.06528067	0.008104301	EAS
GA000451	GA000451	0.07457437	-0.2505435	-0.3245425	0.1392335	0.02674606	0.01391648	0.02892751	0.0006064471	-0.06950322	0.009388917	EAS
GA000452	GA000452	0.07525187	-0.2507445	-0.3168275	0.1421871	0.0263386	0.01196936	0.02576066	-0.002886929	-0.06087024	0.006065043	EAS
GA000453	GA000453	0.0780604	-0.2480102	-0.3152958	0.1373222	0.02145911	0.006968815	0.03075287	-0.008075643	-0.06545461	0.005876852	EAS
GA000454	GA000454	0.08114301	-0.2487309	-0.3188294	0.1410625	0.02870023	0.009717335	0.02517178	-0.0008625309	-0.06372393	0.005332346	EAS
GA000455	GA000455	0.07890278	-0.2487081	-0.3176668	0.1360114	0.02427086	0.009512907	0.02894722	0.0004338774	-0.06839068	0.005371312	EAS
GA000550	GA000550	0.07949018	-0.2443879	-0.3122447	0.1362346	0.0212632	0.01007982	0.02708957	-0.008056238	-0.04031123	0.008515848	EAS
GA000554	GA000554	0.0727722	-0.2397301	-0.3165824	0.1264166	0.01943764	0.01141734	0.02747483	-0.004597703	-0.05984661	0.009420764	EAS
GA000557	GA000557	0.06496074	-0.2361918	-0.3049851	0.1232917	0.02515575	0.004886265	0.01576249	-0.01134665	-0.05266208	0.01126423	EAS
GA000560	GA000560	0.06910556	-0.241535	-0.304247	0.1240495	0.02164814	0.008488819	0.02166506	-0.009863703	-0.05662358	0.00955571	EAS
GA000564	GA000564	0.06942838	-0.2398836	-0.3125652	0.126538	0.02057946	0.005918595	0.02639248	-0.004857652	-0.05546224	0.009282875	EAS
