FID	IID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
FNFM71_NFM041	FNFM71_NFM041	-0.1897502	-0.07633179	-0.3015845	0.001972356	-0.001973525	0.005428078	0.003687065	-0.01136955	0.005121456	-0.003517952
FNFM74_NFM043	FNFM74_NFM043	-0.2002558	-0.09381035	-0.3129187	-0.003898427	-0.003568622	0.001052001	-0.004094625	-0.01680809	0.005180902	-0.02126537
FNFM74_NFM044	FNFM74_NFM044	-0.1910083	-0.07005719	-0.305666	0.004128208	-0.007497462	-0.002701448	0.004651914	-0.02996394	0.002589145	0.004823739
FNFM159_NFM001	FNFM159_NFM001	-0.1964165	-0.08850109	-0.3078028	-0.006047439	-0.008691901	-0.002038393	0.004081246	-0.005831549	0.001856221	0.005559448
FNFM159_NFM002	FNFM159_NFM002	-0.1933766	-0.08055808	-0.3001651	0.007157028	-0.008719496	-0.001843519	-0.002081715	-0.01352064	0.01002833	0.008644604
FNFM171_NFM004	FNFM171_NFM004	-0.1974757	-0.09346325	-0.3158669	-0.006062681	-0.003455557	-0.003692862	0.006464558	-0.002482051	0.006487012	0.00161201
FNFM171_NFM005	FNFM171_NFM005	-0.1971072	-0.0841536	-0.3090122	-0.001421854	-0.006260216	-0.0002444266	0.0003477892	-0.02237821	0.003539317	-0.005086324
FNFM174_NFM008	FNFM174_NFM008	-0.1894209	-0.06590191	-0.2918314	0.0002348089	-0.005213635	-0.0008468423	0.004874875	-0.01123199	0.00705694	-0.00228873
FNFM274_NFM010	FNFM274_NFM010	-0.20463	-0.08420358	-0.315636	-0.004290212	-0.01098993	0.001629952	-0.00403946	-0.02411775	-0.0004863192	0.004820761
FNFM292_NFM014	FNFM292_NFM014	-0.198022	-0.08495001	-0.3069798	-0.001706607	-0.008565747	-0.004783788	0.007603141	-0.02477283	0.0055586	-0.01133046
FNFM355_NFM016	FNFM355_NFM016	-0.1969828	-0.09029871	-0.311652	-0.006526942	-0.007569729	0.0003641359	0.002569771	-0.01781561	-0.001393647	-0.004450735
FNFM355_NFM017	FNFM355_NFM017	-0.1977387	-0.08954346	-0.3114005	-0.001303782	-0.009945839	0.0003633504	0.003995955	-0.01737714	-0.003209842	0.0003246987
FNFM391_NFM019	FNFM391_NFM019	-0.2039005	-0.08884355	-0.3110875	-0.001738592	-0.004387825	-0.0004944313	0.00224788	-0.01898685	-0.004194159	-0.003745153
FNFM391_NFM020	FNFM391_NFM020	-0.1892031	-0.07452394	-0.3022217	0.004718311	-0.004195007	0.004580616	0.003912084	-0.02299557	0.004142985	-0.006703621
FNFM443_NFM025	FNFM443_NFM025	-0.185831	-0.06496823	-0.2891138	-0.006339664	-0.007978624	-0.00222453	-0.003167609	-0.02229226	0.01181161	-0.004937611
FNFM443_NFM026	FNFM443_NFM026	-0.1969959	-0.07412431	-0.306028	0.001154543	-0.005955934	0.0007897926	-0.002077823	-0.03059996	-0.0002490086	-0.009457061
FNFM450_NFM028	FNFM450_NFM028	-0.2008763	-0.08909153	-0.3094717	-0.009792374	-0.005654015	-0.0001686256	0.005024797	-0.01855956	0.001748433	-0.00893318
FNFM529_NFM031	FNFM529_NFM031	-0.1996934	-0.09222036	-0.3059451	-0.003992174	-0.007995856	0.002057424	-0.001261939	-0.02442742	0.01038194	0.002122836
FNFM550_NFM034	FNFM550_NFM034	-0.1984413	-0.08735136	-0.3155944	-0.005275579	-0.009256886	0.003944097	0.001802538	-0.02439561	0.007384202	0.001607807
FNFM550_NFM035	FNFM550_NFM035	-0.1959807	-0.0811357	-0.3058288	-0.001535419	-0.01172776	-0.0006432368	0.008599876	-0.01501195	0.009334827	-0.01771598
FNFM623_NFM037	FNFM623_NFM037	-0.1973066	-0.08372758	-0.3064736	0.0005392984	-0.01180547	-0.005222908	-0.001108084	-0.01996173	0.001631874	-9.636441e-05
FNFM623_NFM038	FNFM623_NFM038	-0.198825	-0.07999351	-0.3077083	0.001849635	-0.002594319	0.002399337	0.004743291	-0.01825445	0.002964893	0.006211752
FNXP01_NXP020	FNXP01_NXP020	-0.1924953	-0.07132833	-0.2999993	0.002258797	-0.006255812	0.0003891768	-0.006950282	-0.01180005	0.002326571	-0.01793086
FNXP01_NXP021	FNXP01_NXP021	-0.1864826	-0.06224834	-0.2837905	0.005340219	-0.009608542	0.0002023599	0.003123182	-0.01958398	0.002637828	-0.00548501
FTOT01_TOT022	FTOT01_TOT022	-0.205129	-0.09913641	-0.3236468	-0.008447429	-0.002850999	0.000496388	-0.003938046	-0.01285354	0.002450104	0.004631907
FTOT01_TOT023	FTOT01_TOT023	-0.2036814	-0.1016396	-0.319197	-0.006387648	-0.003887769	-0.0009439287	-0.001788424	-0.00720951	-0.00218749	-0.002528635
FZAP01_ZAPS018	FZAP01_ZAPS018	-0.2012433	-0.08497251	-0.3236045	-0.003167375	-0.001956401	0.00292863	-0.006373216	-0.00390526	0.007805584	-0.005959476
FZAP01_ZAPS019	FZAP01_ZAPS019	-0.2058664	-0.1016531	-0.326321	-0.00414968	-0.006849635	0.001364558	0.001693991	0.0006237904	0.01157013	-0.006311062
FZAP02_ZAPS021	FZAP02_ZAPS021	-0.2107018	-0.09307907	-0.3175034	-0.00412289	-0.002599923	-0.002164817	-0.001841904	0.01112278	0.01374787	-0.01548085
FZAP02_ZAPS022	FZAP02_ZAPS022	-0.2049154	-0.0913533	-0.3206153	-0.002922639	-0.01507627	-0.0004162838	-0.005790321	0.00785466	0.01105799	-0.01871122
FZAP03_ZAPS024	FZAP03_ZAPS024	-0.2009275	-0.09010494	-0.3174904	-0.004313705	-0.01090173	0.002366496	0.002832848	0.001261882	0.007749345	-0.02393826
FZAP03_ZAPS025	FZAP03_ZAPS025	-0.2039558	-0.09058004	-0.3179249	-0.00690343	0.001815993	0.002804662	-0.004191135	0.009760515	0.01108485	-0.02434622
GA000431	GA000431	-0.1350769	-0.1053689	0.1480746	0.004404406	-0.1764396	0.003773754	0.3609207	0.03665446	0.0006747832	0.01354756
GA000432	GA000432	-0.1388456	-0.1059742	0.1483117	0.009214959	-0.1931411	0.01246584	0.4399569	0.04379698	0.01759854	0.01870016
GA000433	GA000433	-0.1342457	-0.1080523	0.1477835	0.005153225	-0.192102	0.01357765	0.44285	0.04659547	0.01394389	0.01779432
GA000434	GA000434	-0.134908	-0.1092375	0.1454638	0.004049672	-0.1922059	0.01370344	0.4421088	0.04590965	0.01220846	0.01261614
GA000435	GA000435	-0.1312315	-0.1090933	0.146988	-0.001902924	-0.1811195	0.0008425047	0.3790305	0.04112983	0.003819906	0.01127315
GA000436	GA000436	-0.1361109	-0.106295	0.1461262	0.002766754	-0.1915714	0.01254706	0.432422	0.04082803	0.005208274	0.01556614
GA000437	GA000437	-0.1405185	-0.1105058	0.1473517	0.007051523	-0.1785168	0.01002862	0.3922519	0.0439824	0.01180786	0.01868754
GA000438	GA000438	-0.1380764	-0.1050653	0.1490297	0.0005982162	-0.1910288	0.01109406	0.4382526	0.04417684	0.00719646	0.01568203
GA000439	GA000439	-0.1336468	-0.1063032	0.1476415	-0.001188578	-0.1784533	0.007211379	0.3661158	0.03041535	0.01098386	0.01028111
GA000440	GA000440	-0.1359383	-0.1050131	0.1510118	0.001366189	-0.1780599	0.008664783	0.3549182	0.03200376	0.002019544	0.02132953
GA000441	GA000441	-0.1343761	-0.1070793	0.1480135	0.00708733	-0.1694072	0.005878997	0.2883165	0.04182874	-0.002302992	-0.009367708
GA000442	GA000442	-0.1413658	-0.1001421	0.1379839	0.003846232	-0.1605551	0.007878711	0.2434133	0.0272465	-0.0003781633	-0.001243488
GA000443	GA000443	-0.139926	-0.1127167	0.1474836	0.01313475	-0.1684491	0.005750003	0.2639272	0.03294014	-0.005060054	-0.005188024
GA000444	GA000444	-0.1361238	-0.1030144	0.1474865	0.004321809	-0.166722	0.009005923	0.2713924	0.03104367	-0.001008406	-0.01308667
GA000445	GA000445	-0.1350639	-0.09860059	0.1522006	-0.0011883	-0.1723211	0.006720741	0.2897708	0.0233439	-0.0003942468	-0.01345651
GA000446	GA000446	-0.1370755	-0.1064544	0.1495562	0.005526083	-0.1636079	0.003613487	0.2902095	0.03390344	0.002742118	-0.008710047
GA000447	GA000447	-0.1302744	-0.100114	0.1522938	0.003158938	-0.1638888	0.005720562	0.2857158	0.02819022	0.006494989	-0.00232089
GA000448	GA000448	-0.1335038	-0.1013051	0.14738	0.0009542524	-0.1641559	0.01161479	0.2719011	0.02783574	-0.00684823	-0.01224323
GA000449	GA000449	-0.1354961	-0.10731	0.1484401	0.006090299	-0.1635176	0.005925949	0.273374	0.03071635	-0.0008361807	-0.006438578
GA000450	GA000450	-0.1400208	-0.09930428	0.1495059	0.003250341	-0.1572928	0.009821073	0.2652496	0.02151016	-0.002409756	-0.005354204
GA000451	GA000451	-0.1340397	-0.1033588	0.1504356	0.006045271	-0.1651547	-0.00182713	0.2615995	0.02514498	-0.005967844	-0.01507379
GA000452	GA000452	-0.1332339	-0.1062939	0.151334	0.01579599	-0.1662521	0.001599492	0.2744702	0.03151245	-7.63236e-05	-0.001484027
GA000453	GA000453	-0.1345298	-0.1050308	0.1505245	0.001908101	-0.1660027	0.001578217	0.2606399	0.036451	-0.01022139	0.0007397636
GA000454	GA000454	-0.1351103	-0.1038071	0.1498789	0.008620672	-0.164625	-0.003202504	0.2718387	0.02113526	0.001960238	-0.0118755
GA000455	GA000455	-0.1335531	-0.107962	0.1480802	0.008030341	-0.1651677	0.006270837	0.2676775	0.02871151	-0.005942324	0.0007439489
GA000550	GA000550	-0.1371066	-0.09852244	0.1423091	0.008929054	-0.09626457	0.001730077	0.07199379	0.01259655	-0.01322123	-0.006894297
GA000554	GA000554	-0.1370232	-0.09469338	0.1445702	-0.002133197	-0.1168765	0.003527023	0.105547	0.008847263	-0.002464193	-0.006483555
GA000557	GA000557	-0.1244968	-0.09477687	0.1323208	0.002728149	-0.1142983	-0.003505318	0.1136594	0.01410569	-0.003489036	-0.01174237
GA000560	GA000560	-0.1260942	-0.1042487	0.1390797	0.003197352	-0.118279	-0.002693428	0.09649117	0.01371022	-0.004653881	-0.005363087
GA000564	GA000564	-0.1299931	-0.09401511	0.1468853	-0.004821422	-0.1204246	0.003438644	0.1127116	0.01560873	0.001618925	-0.006257962
GA000632	GA000632	-0.04636468	0.1164272	0.05579255	-0.2487057	-0.002819253	-0.002332517	-0.004004453	0.003615399	-0.001916875	-0.003590876
GA000633	GA000633	-0.04068771	0.1220175	0.05786595	-0.2472045	0.003398168	0.00351288	-0.0005971594	-0.002198943	0.008213908	-0.01083453
GA000634	GA000634	-0.04459287	0.1435277	0.05319825	-0.2594972	0.01774862	-0.01647933	0.01426549	-0.003821081	-0.04369955	-0.02843632
