FID	IID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	
FNFM71_NFM041	FNFM71_NFM041	0.2021373	-0.1288167	-0.251918	0.001905269	-0.002023076	-0.003743419	0.01110007	-0.005509873	0.003035686	0.001401624	AMR
FNFM74_NFM043	FNFM74_NFM043	0.2201507	-0.1232071	-0.2659481	-0.004155375	-0.003562598	0.004327324	0.0165101	-0.005145526	0.02119698	-0.003710848	AMR
FNFM74_NFM044	FNFM74_NFM044	0.2003301	-0.1358168	-0.2527276	0.004151844	-0.007618754	-0.004125634	0.02998888	-0.00223285	-0.004636966	-0.003940749	AMR
FNFM159_NFM001	FNFM159_NFM001	0.2133598	-0.123585	-0.2609629	-0.005723304	-0.00872505	-0.004053817	0.006279151	-0.001329338	-0.005345711	-0.004646982	AMR
FNFM159_NFM002	FNFM159_NFM002	0.2063391	-0.1253684	-0.2518793	0.007056216	-0.008677765	0.002272061	0.01353078	-0.009867902	-0.008888692	-0.0008931201	AMR
FNFM171_NFM004	FNFM171_NFM004	0.2173943	-0.1238622	-0.2695113	-0.005954451	-0.003679261	-0.006256315	0.002467861	-0.005951645	-0.001732075	-0.00819898	AMR
FNFM171_NFM005	FNFM171_NFM005	0.212283	-0.1280392	-0.259756	-0.001385091	-0.006392419	-0.0001013472	0.0222877	-0.003197524	0.005110839	-0.002692029	AMR
FNFM174_NFM008	FNFM174_NFM008	0.1951649	-0.1315367	-0.2401493	0.0001721007	-0.005252996	-0.004849223	0.01156512	-0.006286842	0.002086889	-0.007546722	AMR
FNFM274_NFM010	FNFM274_NFM010	0.2206464	-0.1335628	-0.2626899	-0.004519149	-0.01115794	0.004113418	0.02377257	9.224772e-05	-0.00536732	-0.004881737	AMR
FNFM292_NFM014	FNFM292_NFM014	0.213136	-0.12639	-0.2582716	-0.001643939	-0.008556268	-0.007394573	0.02490439	-0.00505787	0.01157423	-0.009925759	AMR
FNFM355_NFM016	FNFM355_NFM016	0.2152825	-0.1243183	-0.2646194	-0.0066332	-0.00740443	-0.002347533	0.01807538	0.001615822	0.004067735	-0.007004446	AMR
FNFM355_NFM017	FNFM355_NFM017	0.2158768	-0.1251196	-0.2636743	-0.001396087	-0.01005262	-0.003731734	0.01737417	0.003423201	-3.520091e-05	0.001423945	AMR
FNFM391_NFM019	FNFM391_NFM019	0.221046	-0.1276326	-0.2610412	-0.001922936	-0.004510508	-0.002001997	0.01875266	0.0040849	0.003236245	-0.007045617	AMR
FNFM391_NFM020	FNFM391_NFM020	0.2004028	-0.1299184	-0.2522386	0.00473275	-0.004490172	-0.00376597	0.02348004	-0.003871122	0.006111504	-0.007805078	AMR
FNFM443_NFM025	FNFM443_NFM025	0.1912794	-0.1301123	-0.2383285	-0.006090347	-0.007838497	0.003387672	0.02241035	-0.01202146	0.004491059	-0.007449965	AMR
FNFM443_NFM026	FNFM443_NFM026	0.2080797	-0.1347976	-0.2527132	0.0008710341	-0.0058194	0.002529642	0.03024304	0.0001072198	0.009310098	-0.001799517	AMR
FNFM450_NFM028	FNFM450_NFM028	0.2176743	-0.1251085	-0.2612146	-0.009586281	-0.005590969	-0.004871186	0.01871847	-0.001132941	0.009133833	-0.0003594919	AMR
FNFM529_NFM031	FNFM529_NFM031	0.2176383	-0.1205954	-0.2598338	-0.003988441	-0.008207431	0.001216978	0.02463428	-0.009531726	-0.002229549	-0.009949301	AMR
FNFM550_NFM034	FNFM550_NFM034	0.2164439	-0.1292735	-0.2660648	-0.005451913	-0.009340208	-0.001531216	0.02407814	-0.00723107	-0.0020542	-0.006644542	AMR
FNFM550_NFM035	FNFM550_NFM035	0.2098602	-0.1285641	-0.2560364	-0.001496219	-0.0119105	-0.008593262	0.01515206	-0.009194608	0.01730063	-0.01015209	AMR
FNFM623_NFM037	FNFM623_NFM037	0.2122458	-0.1271214	-0.2571987	0.0003567033	-0.01178185	0.001278771	0.0200742	-0.001933671	3.141891e-05	0.00231337	AMR
FNFM623_NFM038	FNFM623_NFM038	0.2125381	-0.1316927	-0.2558902	0.001707619	-0.002788035	-0.004634512	0.01853118	-0.002765198	-0.006708442	-0.002962579	AMR
FNXP01_NXP020	FNXP01_NXP020	0.2015972	-0.1323087	-0.2481465	0.0021045	-0.006254471	0.006914825	0.0117488	-0.002043071	0.01850393	0.002185539	AMR
FNXP01_NXP021	FNXP01_NXP021	0.1900575	-0.1300569	-0.2323148	0.005273379	-0.009634131	-0.00298593	0.01960503	-0.002059943	0.00580326	0.0004740781	AMR
FTOT01_TOT022	FTOT01_TOT022	0.2275536	-0.1252672	-0.2762225	-0.008390621	-0.002973888	0.004095414	0.01294867	-0.001248087	-0.004126037	-0.004272782	AMR
FTOT01_TOT023	FTOT01_TOT023	0.2272567	-0.1210469	-0.2735098	-0.006408467	-0.003771951	0.00210439	0.007259886	0.002697593	0.002828187	0.002520769	AMR
FZAP01_ZAPS018	FZAP01_ZAPS018	0.2183462	-0.1358073	-0.271403	-0.003171205	-0.002084149	0.006217006	0.004259489	-0.006359837	0.005814998	-0.00364274	AMR
FZAP01_ZAPS019	FZAP01_ZAPS019	0.2302933	-0.125338	-0.2787271	-0.004226851	-0.006940328	-0.001877002	-0.0003416723	-0.01073952	0.005634997	-0.01707337	AMR
FZAP02_ZAPS021	FZAP02_ZAPS021	0.2295913	-0.1291859	-0.2665265	-0.004292511	-0.002649221	0.001824224	-0.01075419	-0.01189947	0.01491758	-0.02366389	AMR
FZAP02_ZAPS022	FZAP02_ZAPS022	0.2243698	-0.1305997	-0.269954	-0.00309151	-0.01503392	0.005720322	-0.007601106	-0.01013418	0.01784072	-0.02113398	AMR
FZAP03_ZAPS024	FZAP03_ZAPS024	0.2197263	-0.1287848	-0.2679124	-0.004287198	-0.01092734	-0.002906329	-0.001102435	-0.006766323	0.02346497	-0.02248177	AMR
FZAP03_ZAPS025	FZAP03_ZAPS025	0.222534	-0.1291861	-0.2679438	-0.006942599	0.001564032	0.004008588	-0.009416514	-0.009355349	0.02387728	-0.02218456	AMR
GA000431	GA000431	0.1050225	0.1391629	0.1039265	0.004141888	-0.1771325	-0.3632873	-0.03363301	-0.000304817	-0.01320226	-0.01685189	
GA000432	GA000432	0.1094471	0.1379695	0.1054726	0.008835794	-0.1934494	-0.4428747	-0.04044447	-0.01761735	-0.01993054	-0.02451376	
GA000433	GA000433	0.1058751	0.1412262	0.1023343	0.004965032	-0.1924797	-0.4461086	-0.04312309	-0.01357132	-0.01875438	-0.02427593	
GA000434	GA000434	0.1072158	0.1408362	0.1000571	0.003753978	-0.1927948	-0.4452591	-0.04221659	-0.01173883	-0.01281218	-0.01366374	
